     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|target_commit	mode	throughput	mean_ttft_ms	autotune_applied	last_tuned_eff_weight	status	description
     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|     2|2ab3ce201	fast	5.250965794498335	184439.6969225568	1	0.5	discard	regret-based near-tie stabilization in autotune apply path; completed proxy run but no baseline win established
     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|     3|2ab3ce201	fast	5.412126550297808	178385.7908912387	2	0.1	keep	later autotune rounds use a centered 9-point local refinement grid so round 2 finishes and applies in fast proxy runs
     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|     4|2ab3ce201	fast	5.14118814589566	187786.7047625071	2	0.5	discard	later-round 1% switch threshold to freeze tiny local-refinement gains; worse throughput and TTFT than the centered-grid baseline
     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|     5|2ab3ce201	fast	5.384722405586871	179291.69253381738	2	0.2	discard	narrow the later-round refinement grid to 7 points around the active weight; slightly worse than the centered 9-point refinement grid
     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|     6|2ab3ce201	fast	5.1472365109284075	187836.20855777359	2	0.4	discard	shorten later-round autotune target by 100 requests so the local refinement applies earlier; worse throughput and TTFT than current best local state
     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|     7|2ab3ce201	fast	5.126806781711277	188356.16038440942	2	0.1	discard	bias later-round 9-point local refinement one extra step toward lower weights; reaches 0.1 but degrades throughput and TTFT
     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|     8|2ab3ce201	fast	5.381958934282255	180800.65910621473	2	0.1	discard	start later refinement rounds 50 requests earlier to preserve more pressure-bearing requests in fast proxy runs
     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|     9|2ab3ce201	fast	5.132386476305315	188115.2208612281	2	0.1	discard	prefer the lower weight when replay scores are within 0.2 percent of the best score
    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|    10|2ab3ce201	fast	5.311160366615828	182088.49712237922	2	0.1	discard	start later refinement rounds 25 requests earlier instead of the full 50-request reduction
    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|    11|2ab3ce201	fast	5.151294950472868	187052.72920791898	2	0.1	discard	bias first-round coarse grid toward low weights to probe 0.1 earlier in fast proxy runs
    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|    12|2ab3ce201	fast	5.294253006090056	183199.5263651232	2	0.1	discard	require at least a 0.2 percent replay-score gain before switching away from the active weight
    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|    13|2ab3ce201	fast	5.490185537129055	176199.58835892688	2	0.1	keep	use a 7-point low-to-mid first-round coarse grid to resolve 0.5-region weights before later local refinement
    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|    14|2ab3ce201	fast	5.160522609923389	187128.43938694097	2	0.1	discard	first-round coarse grid explicitly probes 0.1 and 0.2 instead of the flatter 1.5 region; worse than current kept local state
    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|    15|2ab3ce201	fast	5.407108125522863	180170.59322580494	2	0.1	discard	first-round bootstrap grid adds an explicit 0.1 probe while preserving current mid/high anchors; still below the kept local state
    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|    16|2ab3ce201	fast	5.14432558811317	187841.31994321977	2	0.1	discard	bootstrap exact-tie plateaus choose the midpoint best weight instead of the first listed winner; no throughput gain on this proxy run
    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|    17|2ab3ce201	fast	5.464960776526369	177950.39237967134	2	0.1	discard	later-round local refinement skips the zero-weight probe once a positive weight is active
    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|    18|2ab3ce201	fast	5.154136200760086	187453.56705654194	2	0.1	discard	first-round coarse grid uses evenly spaced low-to-mid anchors and drops the 1.5-region probe
    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|    19|2ab3ce201	fast	5.144314144365803	187847.14553626796	2	0.1	discard	require a tiny 0.02 percent replay-score margin before switching away from the active weight
    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|    20|2ab3ce201	fast	5.151302558551072	187621.395495158	2	0.1	discard	bootstrap near-best plateau midpoint with 0.3 percent tolerance to stabilize noisy first-round winners
    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|    21|2ab3ce201	fast	5.156269719220889	1.870434814329939e+05	1	0.5	discard	bootstrap near-best plateau rounds up to the upper midpoint of a 0.3 percent near-best plateau; throughput rose slightly but round 2 stayed inflight
    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|    22|2ab3ce201	fast	5.425022498154136	178438.9406190362	2	0.2	discard	restore the previously kept 7-point bootstrap grid and centered later-round local refinement; improved over the clean checkout but still below the best kept local proxy result
    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|    23|2ab3ce201	fast	5.427228401160176	180081.06827988027	2	0.1	discard	later-round local refinement keeps a full edge-shifted 9-point window around the active weight
    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|    24|2ab3ce201	fast	5.147222009583506	187876.61578677307	2	0.1	discard	bootstrap round explicitly probes 0.1-0.3 with sparse mid/high anchors
    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|    25|2ab3ce201	fast	5.14836916528624	187744.40142824777	2	0.1	discard	always reset the next replay window after apply even when autotune keeps the current weight
    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|    26|2ab3ce201	fast	5.477654390036031	175978.83523931098	2	0.7	discard	later rounds use a centered 9-point local refinement window around the active weight; close on TTFT but still below the best throughput seen for this proxy state
